date	reef	dir	channel	site	transect	coral	species	condition
2013-10-14	HB	N	control	HBNC1	1	HBNC1.1.1	DSTO	NA
2013-10-14	HB	N	control	HBNC1	1	HBNC1.1.2	SBOU	PE, UD
2013-10-14	HB	N	control	HBNC1	1	HBNC1.1.3	SBOU	UD
2013-10-14	HB	N	control	HBNC1	1	HBNC1.1.4	SINT	NA
2013-10-14	HB	N	control	HBNC1	1	HBNC1.1.5	DSTO	FB
2013-10-14	HB	N	control	HBNC1	1	HBNC1.1.6	SBOU	PE
2013-10-14	HB	N	control	HBNC1	2	HBNC1.2.1	SBOU	UD
2013-10-14	HB	N	control	HBNC1	2	HBNC1.2.2	SBOU	UD
2013-10-14	HB	N	control	HBNC1	2	HBNC1.2.3	SBOU	PE
2013-10-14	HB	N	control	HBNC1	3	HBNC1.3.1	SINT	NA
2013-10-14	HB	N	control	HBNC1	3	HBNC1.3.2	DSTO	NA
2013-10-14	HB	N	control	HBNC1	3	HBNC1.3.3	SBOU	PE
2013-10-14	HB	N	control	HBNC1	3	HBNC1.3.4	SINT	NA
2013-10-14	HB	N	control	HBNC1	3	HBNC1.3.5	DSTO	NA
2013-10-17	HB	S	control	HBSC1	1	HBSC1.1.1	PAST	M
2013-10-17	HB	S	control	HBSC1	1	HBSC1.1.10	SSID	NA
2013-10-17	HB	S	control	HBSC1	1	HBSC1.1.2	MCAV	PE
2013-10-17	HB	S	control	HBSC1	1	HBSC1.1.3	SINT	NA
2013-10-17	HB	S	control	HBSC1	1	HBSC1.1.4	MCAV	PE
2013-10-17	HB	S	control	HBSC1	1	HBSC1.1.5	DSTO	NA
2013-10-17	HB	S	control	HBSC1	1	HBSC1.1.6	PSTR	NA
2013-10-17	HB	S	control	HBSC1	1	HBSC1.1.7	MCAV	NA
2013-10-17	HB	S	control	HBSC1	1	HBSC1.1.8	MCAV	NA
2013-10-17	HB	S	control	HBSC1	1	HBSC1.1.9	MCAV	NA
2013-10-17	HB	S	control	HBSC1	2	HBSC1.2.1	MCAV	NA
2013-10-17	HB	S	control	HBSC1	2	HBSC1.2.10	SSID	NA
2013-10-17	HB	S	control	HBSC1	2	HBSC1.2.2	MCAV	NA
2013-10-17	HB	S	control	HBSC1	2	HBSC1.2.3	SSID	NA
2013-10-17	HB	S	control	HBSC1	2	HBSC1.2.4	MCAV	NA
2013-10-17	HB	S	control	HBSC1	2	HBSC1.2.5	DSTO	NA
