Date,Week,Visit,Surveyor,Site,N Site,Transect,N Transect,Coral ID,Species,Condition Code,Condition Score_calc,Sediment stress,Coral w/ Sed Stress,Proportion w/ sed stress/site,Proportion Stressed Transect,Proportion  Stressed Site,,,,
4/25/15,IA1,,AS,R3S2-LR,25,1,7,1,SINT,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,1,7,2,PAST,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,1,7,3,SBOU,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,1,7,3,SBOU,UD,1,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,1,7,4,PAST,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,1,7,5,PAST,FB,1,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,1,7,5,PAST,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,1,7,6,SBOU,DEAD,1,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,1,7,7,SBOU,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,1,7,7,SBOU,P,1,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,1,SBOU,SA,1,1,1.0,0.04,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,1,SBOU,P,1,,,,0.13,0.04,,7,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,2,PAST,M,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,2,PAST,SA,1,1,1.0,0.04,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,3,PAST,M,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,3,PAST,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,3,PAST,UPM,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,4,SINT,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,5,PAST,M,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,5,PAST,SA,1,1,1.0,0.04,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,6,SBOU,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,7,PAST,P,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,7,PAST,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,2,8,8,MMEA,DEAD,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,1,PAST,SED,0,,,,0.10,0.04,,8,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,2,SBOU,SA,1,1,1.0,0.04,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,2,SBOU,UC,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,3,MMEA,DEAD,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,4,PAST,M,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,4,PAST,SA,1,1,1.0,0.04,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,5,SSID,UPM,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,6,PAST,SED,0,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,7,DLAB,DEAD,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,8,PAST,UPM,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,8,PAST,SED,0,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,9,PAST,M,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,9,PAST,SA,1,1,1.0,0.04,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,10,PAST,M,1,,,,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S2-LR,25,3,10,10,PAST,SA,1,1,1.0,0.04,0.10,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,1,8,1,SBOU,UPM,1,,,,0.13,0.04,,10,,
4/25/15,IA1,,AS,R3S3-SG,25,1,8,1,SBOU,PB,1,,,,0.13,0.04,,8,,
4/25/15,IA1,,AS,R3S3-SG,25,1,8,2,PAST,M,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,1,8,2,PAST,SA,1,1,1.0,0.04,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,1,8,3,SBOU,UC,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,1,8,4,SINT,SA,1,1,1.0,0.04,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,1,8,5,MCAV,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,1,8,6,MCAV,WP,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,1,8,7,MCAV,WP,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,1,8,8,PAST,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,1,SSID,UPM,1,,,,0.11,0.04,,9,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,1,SSID,SED,0,,,,0.11,0.04,,8,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,2,MCAV,SED,0,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,2,MCAV,UPM,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,3,OFAV,SED,0,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,4,DSTO,WP,1,,,,0.11,0.04,,,,
