Date,Week,SITE (e g  HBNC1-CP),Transect (e g  HBNA-1),Surveyor,Category,Subcategory,Total Count,Density,Depth (ft),Bare Substrate,Hard Bottom,Sand,Rubble,Sedimentation,Tagged Coral (Y/N),Coral ID,Meter Mark (to cm),Left/Right,Max Diameter,Octo Height (cm),Length (cm),Width (cm),SCLAR Height (cm),Condition Code (0-1),Cumulative Condition,Condition,Comments,QA/QC Condition Score (0/1) ,QA/QC Condition Code,QA/QC Comments,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Eunicea,1,0.05,40,,,,,,,,,,,30,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Eunicea,1,0.05,40,,,,,,,,,,,25,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Eunicea,1,0.05,40,,,,,,,,,,,20,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Eunicea,1,0.05,40,,,,,,,,,,,15,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Eunicea,1,0.05,40,,,,,,,,,,,5,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,45,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,40,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,35,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,30,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,25,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,20,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-1,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,15,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-2,JDC,Octocoral,Eunicea,1,0.05,40,,,,,,,,,,,20,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-2,JDC,Octocoral,Eunicea,1,0.05,40,,,,,,,,,,,15,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-2,JDC,Octocoral,Eunicea,1,0.05,40,,,,,,,,,,,10,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-2,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-2,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-2,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,50,,,,,0,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-2,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-2,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
12/3/13,1,R3S1-CP,R3S1-CP-2,JDC,Octocoral,Pseudopterogorgia,1,0.05,40,,,,,,,,,,,40,,,,,0,,,,,,,,,,,,,,,,
