,,,,,,,,,,,,,,,,,,,TAGGED CORALS ONLY,,,,,,
Date,Week,Site,Transect,Surveyor,Depth,Rugosity,Bare Substrate,Hardbottom,Boulders,Sand,Rubble,Sedimentation,N Site (wout missing),N Site (wout dead or missing),Transect,N Transect (w/out missing),Category (scleractinian etc),Subcategory (Genus or Type),Tagged coral (Y/N),Coral ID,Species,Condition Code qaqc,Max Diameter,% Mortality,Visual Estimate % Mortality
8/8/16,PC,HBSC1,1,MLR,,,,,,,,,,,1,,Scleractinian,,N,1,MCAV,PE,10,0,
8/8/16,PC,HBSC1,1,MLR,,,,,,,,,,,1,,Scleractinian,,N,2,SSID,NONE,11,1,
8/8/16,PC,HBSC1,1,MLR,,,,,,,,,,,1,,Scleractinian,,N,3,PAST,NONE,4,,
8/8/16,PC,HBSC1,2,MLR,,,,,,,,,,,2,,Scleractinian,,N,1,SSID,UPM,12,5,
8/8/16,PC,HBSC1,2,MLR,,,,,,,,,,,2,,Scleractinian,,N,2,SSID,BL,8,0,
8/8/16,PC,HBSC1,2,MLR,,,,,,,,,,,2,,Scleractinian,,N,3,MCAV,NONE,3,0,
8/8/16,PC,HBSC1,2,MLR,,,,,,,,,,,2,,Scleractinian,,N,4,DSTO,P,5,0,
8/8/16,PC,HBSC1,2,MLR,,,,,,,,,,,2,,Scleractinian,,N,5,FFRA,NONE,3,0,
8/8/16,PC,HBSC1,3,MLR,,,,,,,,,,,3,,Scleractinian,,N,1,SBOU,NONE,5,,
8/8/16,PC,HBSC1,3,MLR,,,,,,,,,,,3,,Scleractinian,,N,2,SINT,NONE,10,,
8/8/16,PC,HBSC1,3,MLR,,,,,,,,,,,3,,Scleractinian,,N,3,SSID,NONE,,,
8/8/16,PC,HBSC1,3,MLR,,,,,,,,,,,3,,Scleractinian,,N,4,SSID,DS,8,,
8/8/16,PC,HBSC1,3,MLR,,,,,,,,,,,3,,Scleractinian,,N,5,SINT,P,7,,
8/8/16,PC,HBSC1,3,MLR,,,,,,,,,,,3,,Scleractinian,,N,6,SINT,P,7,,
8/8/16,PC,HBSC1,3,MLR,,,,,,,,,,,3,,Scleractinian,,N,7,SINT,NONE,5,,
8/10/16,PC,R2NC2,1,WP,,,,,,,,,,,1,,Scleractinian,,N,1,SINT,NONE,8,,
8/10/16,PC,R2NC2,1,WP,,,,,,,,,,,1,,Scleractinian,,N,2,MCAV,PE,,50,
8/10/16,PC,R2NC2,1,WP,,,,,,,,,,,1,,Scleractinian,,N,2,MCAV,CM,,50,
8/10/16,PC,R2NC2,1,WP,,,,,,,,,,,1,,Scleractinian,,N,3,SINT,P,5,,
8/10/16,PC,R2NC2,1,WP,,,,,,,,,,,1,,Scleractinian,,N,3,SINT,PB,5,,
8/10/16,PC,R2NC2,1,WP,,,,,,,,,,,1,,Scleractinian,,N,4,SINT,NONE,10,,
8/10/16,PC,R2NC2,1,WP,,,,,,,,,,,1,,Scleractinian,,N,5,SSID,P,6,,
8/10/16,PC,R2NC2,1,WP,,,,,,,,,,,1,,Scleractinian,,N,6,MCAV,UPM,55,15,
8/10/16,PC,R2NC2,1,WP,,,,,,,,,,,1,,Scleractinian,,N,7,DSTO,NONE,5,,
8/10/16,PC,HBN3,1,WP,,,,,,,,,23,15,1,8,Scleractinian,,Y,1,SBOU,FB,25,,0
8/10/16,PC,HBN3,1,WP,,,,,,,,,23,15,1,8,Scleractinian,,Y,1,SBOU,UD,25,,0
8/10/16,PC,HBN3,1,WP,,,,,,,,,23,15,1,8,Scleractinian,,Y,2,SBOU,NONE,10,,0
8/10/16,PC,R2NC2,2,WP,,,,,,,,,,,2,,Scleractinian,,N,1,MCAV,WP,25,10,
8/10/16,PC,R2NC2,2,WP,,,,,,,,,,,2,,Scleractinian,,N,2,PPOR,NONE,8,,
8/10/16,PC,R2NC2,2,WP,,,,,,,,,,,2,,Scleractinian,,N,3,MCAV,UPM,55,25,
8/10/16,PC,R2NC2,2,WP,,,,,,,,,,,2,,Scleractinian,,N,4,SSID,NONE,8,,
8/10/16,PC,R2NC2,2,WP,,,,,,,,,,,2,,Scleractinian,,N,5,SINT,NONE,5,,
8/10/16,PC,R2NC2,2,WP,,,,,,,,,,,2,,Scleractinian,,N,6,MCAV,NONE,22,,
8/10/16,PC,HBN3,1,WP,,,,,,,,,23,15,1,8,Scleractinian,,Y,3,SBOU,DEAD,,100,100
8/10/16,PC,HBN3,1,WP,,,,,,,,,23,15,1,8,Scleractinian,,Y,4,SBOU,NONE,25,,0
8/10/16,PC,HBN3,1,WP,,,,,,,,,23,15,1,8,Scleractinian,,Y,5,SBOU,NONE,18,,0
